State,County,FIPS,MapDate,DSCI
AZ,Apache County,04001,20091222,286
AZ,Apache County,04001,20091229,286
AZ,Apache County,04001,20100105,286
AZ,Apache County,04001,20100112,298
AZ,Apache County,04001,20100119,298
AZ,Apache County,04001,20100126,194
AZ,Apache County,04001,20100202,190
AZ,Apache County,04001,20100209,182
AZ,Apache County,04001,20100216,182
AZ,Apache County,04001,20100223,181
AZ,Apache County,04001,20100302,180
AZ,Apache County,04001,20100309,177
AZ,Apache County,04001,20100316,175
AZ,Apache County,04001,20100323,167
AZ,Apache County,04001,20100330,130
AZ,Apache County,04001,20100406,130
AZ,Apache County,04001,20100413,130
AZ,Apache County,04001,20100420,129
AZ,Apache County,04001,20100427,129
AZ,Apache County,04001,20100504,129
AZ,Apache County,04001,20100511,128
AZ,Apache County,04001,20100518,124
AZ,Apache County,04001,20100525,124
AZ,Apache County,04001,20100601,124
AZ,Apache County,04001,20100608,123
AZ,Apache County,04001,20100615,126
AZ,Apache County,04001,20100622,126
AZ,Apache County,04001,20100629,126
AZ,Apache County,04001,20100706,126
AZ,Apache County,04001,20100713,126
AZ,Apache County,04001,20100720,127
AZ,Apache County,04001,20100727,137
AZ,Apache County,04001,20100803,106
AZ,Apache County,04001,20100810,71
AZ,Apache County,04001,20100817,71
AZ,Apache County,04001,20100824,71
AZ,Apache County,04001,20100831,71
AZ,Apache County,04001,20100907,71
AZ,Apache County,04001,20100914,71
AZ,Apache County,04001,20100921,71
AZ,Apache County,04001,20100928,71
AZ,Apache County,04001,20101005,71
AZ,Apache County,04001,20101012,71
AZ,Apache County,04001,20101019,71
AZ,Apache County,04001,20101026,41
AZ,Apache County,04001,20101102,41
AZ,Apache County,04001,20101109,41
AZ,Apache County,04001,20101116,45
AZ,Apache County,04001,20101123,45
AZ,Apache County,04001,20101130,45
AZ,Apache County,04001,20101207,100
AZ,Apache County,04001,20101214,103
AZ,Apache County,04001,20101221,103
AZ,Apache County,04001,20101228,103
AZ,Apache County,04001,20110104,102
AZ,Apache County,04001,20110111,83
AZ,Apache County,04001,20110118,84
AZ,Apache County,04001,20110125,84
AZ,Apache County,04001,20110201,84
AZ,Apache County,04001,20110208,124
AZ,Apache County,04001,20110215,124
AZ,Apache County,04001,20110222,124
AZ,Apache County,04001,20110301,124
AZ,Apache County,04001,20110308,124
AZ,Apache County,04001,20110315,128
AZ,Apache County,04001,20110322,130
AZ,Apache County,04001,20110329,197
AZ,Apache County,04001,20110405,218
AZ,Apache County,04001,20110412,219
AZ,Apache County,04001,20110419,219
AZ,Apache County,04001,20110426,235
AZ,Apache County,04001,20110503,242
AZ,Apache County,04001,20110510,242
